LibraryPath,OriginPath,Accepted,Note
D:\PhotoLibrary\Library\2014\2014-01\WWW.YIFY-TORRENTS.COM.jpg,D:\Documents\Movies\The Wolverine (2013)\WWW.YIFY-TORRENTS.COM.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\NoDate\Cover.jpg,D:\Documents\Movies\Boardwalk Empire Season 1-2 Complete 480p.ILPruny\Cover\Cover.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\Library\2002\2002-12\Friends Season 1.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 1\Friends Season 1.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\Library\2005\2005-02\Friends_The_Complete_Second_Season-front.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 2\Friends_The_Complete_Second_Season-front.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\NoDate\Friends_The_Complete_Third_Season-front.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 3\Friends_The_Complete_Third_Season-front.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\Library\2010\2010-03\Friends_The_Complete_Fifth_Season_custom-front.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 5\Friends_The_Complete_Fifth_Season_custom-front.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\Library\2010\2010-03\Friends_The_Complete_Sixth_Season-front.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 6\Friends_The_Complete_Sixth_Season-front.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\Library\2010\2010-03\Cover.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 7\Cover.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\Library\2010\2010-03\Friends_The_Complete_Season_8-front.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 8\Friends_The_Complete_Season_8-front.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
D:\PhotoLibrary\Library\2010\2010-03\Friends_Season_9-front.jpg,D:\Documents\Movies\Friends\F.R.I.E.N.D.S. Season 9\Friends_Season_9-front.jpg,2026-09-06,"DVD and box-set cover art plus a torrent-site logo, from Documents\Movies. Removed alongside the ripped films they belonged to; the library-side removal was never journalled. Reviewed 2026-09-06, non-personal, no action."
