OriginFolder,SourceRoot,Files,Bytes,LibraryYearSpan,Methods
C:\Users\krish\OneDrive\Pictures\Samsung Gallery\DCIM\Camera,OneDrive,13346,137404318403,2022-NoDate,copy=13346
D:\Laptop 2024 files,D: archive drive,872,75579690665,2017-NoDate,link=872
D:\Samsung S9+ Backup - Sep 2020\DCIM\Camera,D: archive drive,3794,37303615309,2018-NoDate,link=3794
D:\Phone backup Jan 22\DCIM\Camera,D: archive drive,2607,21800918996,2017-NoDate,link=2607
D:\work backup 2020\Documents\samsung backup\DCIM\Camera,D: archive drive,2081,21382633836,2014-NoDate,link=2081
D:\UK December 2015,D: archive drive,57,21235664063,2015-2016,link=57
D:\E-Drive-Rescue\2019-06-24 MEDICAL-DOC-1\Camera,E: rescued drive,950,16945197892,2018-2020,link=950
D:\Val D'Isere December 2015,D: archive drive,82,16217864488,2016-2016,link=82
D:\Samsung S9+ Backup - Sep 2020\DCIM\GOPRO,D: archive drive,26,13587980759,2016-2016,link=26
G:\My Drive\Old Computer\2019-09-15 PERSON-A phone upto sept 2019,Google Drive (personal),2231,12769901951,2019-2019,copy=2231
D:\work backup 2022\Videos\Captures,D: archive drive,17,12769135341,2021-2022,link=17
takeout-20260905T201853Z-1-005.zip!Takeout\Google Photos\Photos from 2026,Google Photos (Takeout),636,11289242403,2026-NoDate,copy=636
G:\My Drive,Google Drive (personal),39,10362896649,2018-NoDate,copy=39
D:\Samsung S9+ Backup - Sep 2020\DCIM\100GOPRO (2),D: archive drive,24,10283719210,2016-2019,link=24
D:\Samsung S9+ Backup - Sep 2020\DCIM\100GOPRO,D: archive drive,40,8434511161,2016-2016,link=40
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2020,Google Photos (Takeout),1060,8234212010,2020-NoDate,copy=1060
takeout-20260905T201853Z-1-006.zip!Takeout\Google Photos\Photos from 2026,Google Photos (Takeout),269,7410499109,2026-2026,copy=269
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Camera,D: archive drive,835,7318842033,2022-2022,link=835
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2016,Google Photos (Takeout),408,6706880097,2016-NoDate,copy=408
D:\india\3,D: archive drive,47,5785092023,2012-2012,link=47
D:\E-Drive-Rescue\2019-09-15 PERSON-A phone upto sept 2019,E: rescued drive,319,5724726412,2019-2019,link=319
D:\Samsung S9+ Backup - Sep 2020\DCIM\DCIM\100GOPRO,D: archive drive,11,5351628820,2016-2016,link=11
D:\Phone backup Jan 22\DCIM\Screen recordings,D: archive drive,4,5143795051,2020-2020,link=4
D:\E-Drive-Rescue\2019-07-23 PERSON-C IDENTITY-DOC-1 3\2019-09-15 PERSON-B phone upto sept 2019,E: rescued drive,953,5094506240,2019-2019,link=953
D:\Samsung S9+ Backup - Sep 2020\DCIM4\100GOPRO,D: archive drive,64,3837983499,2019-2020,link=64
D:\work backup 2020\Documents\samsung backup\MP_ROOT\100ANV01,D: archive drive,38,3641478295,2016-2016,link=38
D:\E-Drive-Rescue\2019-07-22 sick note july aug2019\Camera,E: rescued drive,100,3147861866,2018-2019,link=100
D:\Pictures\thailand\22. wanaka,D: archive drive,414,2653702314,2012-2012,link=414
D:\india\2,D: archive drive,20,2428638478,2014-2014,link=20
D:\HP computer backup (2010-2016)\ridiculous obstacle challenge,D: archive drive,12,2111670683,2016-2016,link=12
D:\work backup 2022\Documents\Queenstown 2022,D: archive drive,46,2092408665,2022-2022,link=46
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2019,Google Photos (Takeout),1210,2044883377,2019-NoDate,copy=1210
takeout-20260905T201853Z-1-006.zip!Takeout\Google Photos\Photos from 2025,Google Photos (Takeout),708,1818741503,2024-NoDate,copy=708
D:\india\1\videos,D: archive drive,19,1777954739,2014-2014,link=19
D:\Gdrive backup Jan 22,D: archive drive,5,1691871409,2021-2021,link=5
takeout-20260905T201853Z-1-005.zip!Takeout\Google Photos\Photos from 2025,Google Photos (Takeout),648,1564404961,2025-NoDate,copy=648
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2021,Google Photos (Takeout),245,1300182917,2021-2022,copy=245
D:\Pictures\thailand\19. phnom penh,D: archive drive,156,1215484215,2012-2012,link=156
D:\work backup 2016\documents,D: archive drive,18,1154382618,2016-NoDate,link=18
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2018,Google Photos (Takeout),522,1108860142,2018-NoDate,copy=522
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2024,Google Photos (Takeout),439,1022525392,2024-2024,copy=439
C:\Users\krish\OneDrive\Pictures\Screenshots 1,OneDrive,4362,959842873,2024-NoDate,copy=4362
D:\work backup 2020\Documents\samsung backup\DCIM\Facebook,D: archive drive,265,935664785,2016-2017,link=265
D:\work backup 2020\Downloads\Samsung S9 Edge Backup - April 2019\DCIM\Camera,D: archive drive,307,928785959,2018-2018,link=307
D:\Gdrive backup Jan 22\WhatsApp\Media\WhatsApp Video,D: archive drive,156,894056510,2017-2022,link=156
D:\Phone backup Jan 22\Movies\Instagram,D: archive drive,234,872182621,2017-NoDate,link=234
D:\Pictures\thailand\17. siem reap,D: archive drive,120,826913343,2012-2012,link=120
D:\Pictures\thailand\15. phong na ke bang,D: archive drive,127,824443809,2012-2012,link=127
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2017,Google Photos (Takeout),485,806245102,2017-NoDate,copy=485
D:\Pictures\2018,D: archive drive,144,804554735,2017-2018,link=144
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2025,Google Photos (Takeout),328,790045004,2025-NoDate,copy=328
D:\Pictures\thailand\12. mui ne,D: archive drive,137,766978152,2012-2012,link=137
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Trash,Google Photos (Takeout),542,732534708,2017-2026,copy=542
D:\Pictures\thailand\23. new zealand\Post-Processed,D: archive drive,93,719012684,2011-2012,link=93
D:\Pictures\thailand\16. hanoi,D: archive drive,114,710437431,2012-2012,link=114
C:\Users\krish\OneDrive\Pictures\Samsung Gallery\DCIM\27 may,OneDrive,32,641522319,2025-2025,copy=32
D:\Phone backup Jan 22\Pictures\ExpenseIt,D: archive drive,251,638713826,2017-2018,link=251
D:\Pictures\thailand\7. krabi III,D: archive drive,90,612865832,2012-2012,link=90
D:\Pictures\leaving week,D: archive drive,121,610693492,2012-2012,link=121
D:\Samsung S9+ Backup - Sep 2020\DCIM\Video Editor,D: archive drive,33,595352550,2018-2019,link=33
D:\Phone backup Jan 22\DCIM\Video Editor,D: archive drive,29,589408898,2017-2021,link=29
D:\Pictures\thailand\11. saigon,D: archive drive,83,568694036,2012-2012,link=83
G:\My Drive\Old Computer\2020-04-24 old photos,Google Drive (personal),978,562446932,2020-2020,copy=978
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\04_Content,OneDrive,4,533314947,NoDate-NoDate,copy=4
D:\Pictures\BLUE MOUNTAINS OCT 2016,D: archive drive,88,522741560,2016-2016,link=88
D:\Pictures\thailand\21. queenstown,D: archive drive,202,506414189,2011-2012,link=202
D:\Phone backup Jan 22\DCIM\Screenshots,D: archive drive,553,453256228,2017-2022,link=553
D:\Pictures\thailand\4. nong khai,D: archive drive,137,449852337,2012-2012,link=137
D:\Samsung Backup\Card\DCIM\Camera,D: archive drive,234,447596854,2014-NoDate,link=234
D:\Surface Laptop Backup July 2025\Downloads\New folder,D: archive drive,272,436808830,2014-2016,link=272
D:\work backup 2020\Documents\samsung backup\DCIM\Camera (0),D: archive drive,121,429989308,2017-2017,link=121
D:\Gdrive backup Jan 22\WhatsApp\Media\WhatsApp Video\Sent,D: archive drive,65,418548627,2020-2022,link=65
D:\Phone backup Jan 22\Pictures\Instagram,D: archive drive,421,416220288,2017-2022,link=421
D:\Surface laptop backup Aug 2024\Downloads,D: archive drive,165,403246033,2021-NoDate,link=165
D:\Pictures\thailand\14. hoi an & hue,D: archive drive,82,401494794,2012-2012,link=82
D:\Pictures\thailand\5. krabi\Post-Processed,D: archive drive,49,399495415,2012-2012,link=49
